,name,brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
90,Lenovo Tab M10 HD 2nd Gen Tablet (3GB RAM + 32GB),Lenovo,4.65,8999,Helio,8.0,2.0,3,32.0,5000.0,,,10.1,1280x800,1280.0,800.0,149.45,,5.0,,8.0,,,,256GB,Single Sim,not_available,Wi-Fi
91,Apple iPad 10th Gen Tablet (Wi-Fi + 256GB),Apple,4.15,53900,Bionic,6.0,3.1,,256.0,,,,10.9,1640x2360,1640.0,2360.0,263.66,,12.0,,12.0,,iPadOS,16.0,Not_available,,not_available,Wi-Fi
92,Apple iPad Pro 12.9 2022 Tablet,Apple,4.55,124050,Apple,8.0,,8,128.0,10758.0,18.0,Fast,12.9,2048x2732,2048.0,2732.0,264.68,,12.0,,12.0,10.0,iPadOS,16.0,,Single Sim,5G,Wi-Fi
93,Lenovo M10 Plus 3rd Gen Tablet,Lenovo,4.3,15999,Snapdragon,8.0,2.4,6,128.0,7700.0,20.0,Fast,10.61,2000x1200,2000.0,1200.0,219.83,,8.0,,8.0,,,,1TB,,not_available,Wi-Fi
94,Apple iPad 10th Gen Tablet (256GB),Apple,4.25,68900,Bionic,6.0,3.1,,256.0,,,,10.9,1640x2360,1640.0,2360.0,263.66,,12.0,,12.0,,iPadOS,16.0,Not_available,Single Sim,5G,Wi-Fi
95,Apple iPad Mini 7,Apple,4.4,64990,Bionic,6.0,3.22,,64.0,,,,8.3,2266x1488,2266.0,1488.0,326.61,,12.0,,12.0,,iOS,15.0,Not_available,Single Sim,5G,Wi-Fi
96,Motorola Moto Tab G62 (Wi-Fi Only),Motorola,4.4,12999,Snapdragon,8.0,2.4,4,64.0,7700.0,20.0,Fast,10.6,1200x2000,1200.0,2000.0,220.04,,8.0,,8.0,,,,1TB,,not_available,Wi-Fi
97,Lenovo Tab P12 Pro (Wi-Fi + 256GB),Lenovo,4.5,49999,Snapdragon,8.0,3.2,8,256.0,10200.0,45.0,Fast,12.6,2560x1600,2560.0,1600.0,239.59,120.0,8.0,,13.0,5.0,,,512GB,,not_available,Wi-Fi
98,Oppo Pad Air Tablet,Oppo,4.15,15999,Snapdragon,8.0,2.4,4,64.0,7100.0,18.0,Fast,10.36,2000x1200,2000.0,1200.0,225.13,,8.0,,8.0,,,,,Dual Sim,not_available,Wi-Fi
99,Apple iPad Air 5th Gen Tablet (Wi-Fi + 256GB),Apple,4.35,65499,Apple,8.0,,,256.0,,,,10.9,1640x2360,1640.0,2360.0,263.66,,12.0,,12.0,,iOS,15.0,Not_available,,not_available,Wi-Fi
