laptop_id,model_name,brand,price_inr,rating,cpu_brand,cpu_tier,cpu_generation,cpu_cores,cpu_threads,ram_gb,ram_type,ssd_gb,hdd_gb,display_size_in,resolution_label,resolution_px,touchscreen,gpu_model,gpu_vram_gb,gpu_dedicated,os,warranty_years
769,HP 15s-ey2001AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),HP,55490,57.0,AMD,Ryzen 7,5.0,8.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
770,HP 14-hr0001AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),HP,44437,54.0,AMD,Ryzen 5,7.0,4.0,8.0,8.0,LPDDR5,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
771,Lenovo Ideapad Flex 5i 14IAU7 82R70067IN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,58400,60.0,Intel,Core i3,12.0,6.0,8.0,8.0,LPDDR4,512,0,14.0,1920x1080,2073600.0,True,Integrated,0,False,Windows 11,1
772,HP Envy 15-fe0030TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),HP,109990,64.0,Intel,Core i7,13.0,10.0,12.0,16.0,LPDDR5,512,0,15.6,1920x1080,2073600.0,True,Integrated,0,False,Windows 11,1
773,‎HP Zbook Power G4-A 2023 ZHAN 99 Laptop (AMD Ryzen 5 6600H/ 16GB/ 1TB 512GB SSD/ Win11/ 4GB Graph),Other,115558,68.0,AMD,Ryzen 5,6.0,6.0,12.0,16.0,DDR5,512,1024,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
774,‎HP Zbook Power G4-A ZHAN 99 2023 Laptop (AMD Ryzen 5 6600H/ 32GB/ 1TB SSD/ Win11/ 4GB Graph),Other,137134,70.0,AMD,Ryzen 5,6.0,6.0,12.0,32.0,DDR5,1024,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
775,HP 14-hr0000AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),HP,47990,56.0,AMD,Ryzen 5,7.0,4.0,8.0,16.0,LPDDR5,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
776,Chuwi CoreBook X Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Chuwi,24990,,Intel,Core i3,10.0,2.0,4.0,8.0,DDR4,512,0,14.0,1920x1200,2304000.0,False,UHD Graphics,0,False,Windows 11,1
777,Asus ROG Zephyrus G14 2023 GA402XU-N2045WS Gaming Laptop (AMD Ryzen 9 7940HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Asus,145999,79.0,AMD,Ryzen 9,7.0,8.0,16.0,16.0,DDR5,1024,0,14.0,2560x1600,4096000.0,False,RTX 4050,6,True,Windows 11,1
778,Asus TUF Gaming F15 FX506HF-HN026W Gaming Laptop (11th Gen Core i5/ 8GB/ 1TB SSD/ Win11/ 4GB Graph),Asus,52990,65.0,Intel,Core i5,11.0,6.0,12.0,8.0,DDR4,1024,0,15.6,1920x1080,2073600.0,False,RTX 2050,4,True,Windows 11,1
779,Dell Inspiron 5430 2023 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Dell,84899,53.0,Intel,Core i7,13.0,10.0,12.0,16.0,LPDDR5,512,0,14.0,1920x1080,2073600.0,False,Iris Xe Graphics,0,False,Windows 11,1
780,Lenovo ThinkBook 15 G5 21JFA00QIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ DOS),Lenovo,46400,59.0,AMD,Ryzen 7,7.0,8.0,16.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,Integrated,0,False,DOS,1
781,Ninkear A16 Gaming Laptop (AMD Ryzen 7 7735HS/ 32 GB RAM/ 2 TB SSD/ Win 11),Other,79999,73.0,AMD,Ryzen 7,7.0,8.0,16.0,32.0,DDR4,2048,0,16.0,2560x1600,4096000.0,False,Integrated,0,False,Windows 11,1
782,Lenovo IdeaPad Gaming 3 82K2022VIN Laptop (AMD Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,63590,63.0,AMD,Ryzen 5,5.0,6.0,12.0,8.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,GTX 1650,4,True,Windows 11,1
783,Lenovo IdeaPad Gaming 3 15IHU6 82K101M5IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Lenovo,54990,64.0,Intel,Core i5,11.0,4.0,8.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,GTX 1650,4,True,Windows 11,1
784,HP 14-em0026AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),HP,43400,54.0,AMD,Ryzen 5,7.0,4.0,8.0,8.0,LPDDR5,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
785,MSI GF75 Thin 10SCXR-007IN Laptop (10th Gen Core i7/ 8GB/ 512GB SSD/ Win10/ 4GB Graph),MSI,83500,64.0,Intel,Core i7,10.0,6.0,12.0,8.0,DDR4,512,0,17.3,1920x1080,2073600.0,False,GTX 1650,4,True,Windows 10,1
786,MSI Cyborg 15 A12VF-049IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),MSI,109990,73.0,Intel,Core i7,12.0,10.0,16.0,16.0,DDR5,512,0,15.6,1920x1080,2073600.0,False,RTX 4060,8,True,Windows 11,2
787,Dell Vostro 5620 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Dell,46899,55.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,16.0,1920x1080,2073600.0,False,Integrated,0,False,Windows 11,1
788,Lenovo ‎ThinkPad E14 Gen 4 21E3S06Q00 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ DOS),Lenovo,47999,53.0,Intel,Core i3,12.0,6.0,8.0,8.0,DDR4,512,0,14.0,1920x1080,2073600.0,False,Integrated,0,False,DOS,1
789,Asus TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop (12th Gen Core i5/ 16GB/512GB SSD/ Win11 / 4GB Graph),Asus,72990,71.0,Intel,Core i5,12.0,12.0,16.0,16.0,DDR4,512,0,15.6,1920x1080,2073600.0,False,RTX 3050,4,True,Windows 11,1
