item_id,model_name,brand,price_inr,rating,num_ratings,color,type
239,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,799,4.0,333036,Black,In the Ear
240,Boult Audio ProBass Curve Neckband Bluetooth Headset,Boult,999,3.6,165,Grey,In the Ear
241,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Boult,1299,4.0,0,Black,True Wireless
242,BRD BLUETOOTHHEADSET-A25 Bluetooth Headset,BRD,260,3.7,92346,White,True Wireless
243,BRD BLUETOOTHHEADSET-A37 Bluetooth Headset,BRD,240,3.7,23,Black,On the Ear
244,BRD BLUETOOTHHEADSET-A33 Bluetooth Headset,BRD,260,3.5,1269,White,True Wireless
245,BRD BLUETOOTHHEADSET-A26 Bluetooth Headset,BRD,260,3.7,185,White,True Wireless
246,BRD BLUETOOTHHEADSET-A29 Bluetooth Headset,BRD,199,3.6,980,White,True Wireless
247,BRD BLUETOOTHHEADSET-A32 Bluetooth Headset,BRD,199,3.7,302,White,True Wireless
248,BRD BLUETOOTHHEADSET-A32 Bluetooth Headset,BRD,199,3.5,573,White,True Wireless
249,BRD BLUETOOTHHEADSET-A8 Bluetooth Headset,BRD,220,3.4,142,Black,True Wireless
250,BRD BLUETOOTHHEADSET-A17 Bluetooth Headset,BRD,170,3.7,3672,White,True Wireless
251,BRD BLUETOOTHHEADSET-B2 Bluetooth Headset,BRD,174,3.7,6288,Black,True Wireless
252,CADNUT HBS 730 Wireless Neckband Bluetooth Earphone Blu...,CADNUT,238,4.1,1089,Black,True Wireless
253,CADNUT Wireless Earphone G with Portable Charging Case ...,CADNUT,474,3.6,1318,Blue,True Wireless
254,CADNUT OP-3 Bluetooth Headset,CADNUT,369,3.2,9,Black,On the Ear
255,"CADNUT NEWLY BUDS WIRELESS BLUETOOTH EARBUDS ,PORTABLE ...",CADNUT,465,3.4,780,Yellow,True Wireless
256,"CADNUT NEWLY BUDS WIRELESS BLUETOOTH EARBUDS ,PORTABLE ...",CADNUT,465,3.4,773,Yellow,True Wireless
257,CADNUT galA115 Bluetooth Headset,CADNUT,345,3.2,23,White,True Wireless
258,CADNUT Super Extra Bass On-Ear Wired Headphone In-line ...,CADNUT,235,4.2,55,Blue,On the Ear
259,Callmate AirBolt Pro (TWS Buds) With Bass Earbuds | IPX...,Callmate,999,3.6,745,Silver,True Wireless
260,Callmate AirBolt Pro (TWS Buds) With Bass Earbuds | IPX...,Callmate,999,3.8,631,Silver,True Wireless
261,Callmate CollarTune (35 hours Backup) Wireless Neckband...,Callmate,660,4.1,3030,Gold,In the Ear
262,Callmate Single Ear Headset with 20 Hours Backup Blueto...,Callmate,529,3.9,304,Blue,On the Ear
263,Callmate Flex Curve (80 Hours Backup) Wireless Neckband...,Callmate,745,4.2,47,Gold,In the Ear
264,Casa Tech Super i7S Twins Wireless Bluetooth Earbud Ear...,Casa,349,3.4,697,White,True Wireless
265,Casa Tech Wired Extra Bass On-Ear Headphones Wired Head...,Casa,239,3.8,9600,Blue,On the Ear
266,Casa Tech Wired Extra Bass On-Ear Headphones Wired Head...,Casa,239,3.6,464,Blue,On the Ear
267,Casa Tech Portable Wireless Bluetooth Earphones For All...,Casa,349,4.0,3,White,True Wireless
268,Casa Tech True Wireless Chargeable Earbud Bluetooth Hea...,Casa,349,4.4,7,White,True Wireless
269,CASADOMANI Sport Stereo Earbud Wireless with Mic Mini B...,CASADOMANI,359,4.0,50,White,True Wireless
270,CASADOMANI Dual Twins Wireless Earbuds with Mic Mini Bl...,CASADOMANI,349,4.3,0,White,True Wireless
271,CASADOMANI Dual Twins Wireless Earbuds with Mic Mini Bl...,CASADOMANI,349,3.7,54,White,True Wireless
272,CatBull In-ear Bluetooth Headset,CatBull,130,3.6,1904,Black,True Wireless
273,CatBull Truewireless Headphone Bluetooth Headset Blueto...,CatBull,135,3.8,247,Black,In the Ear
274,CatBull Wireless Sports Bluetooth Magnet Earphone Hands...,CatBull,132,3.7,6288,Red,In the Ear
275,CatBull In-ear Bluetooth Headsets Bluetooth Headset,CatBull,130,3.7,6288,Black,In the Ear
276,CatBull In-ear Bluetooth Headsets Bluetooth Headset,CatBull,130,3.6,1318,Black,In the Ear
277,CatBull wireless neckband bluetooth Bluetooth Headset B...,CatBull,233,5.0,0,Black,In the Ear
278,CatBull Buds Wireless With 24 Hours Music Playback Blue...,CatBull,233,2.3,3,Black,In the Ear
279,"CatBull Kaju Bluetooth earpiece, Mini S530 Bluetooth He...",CatBull,127,3.6,89,Black,True Wireless
280,CatBull S530 Hands-Free earphone for All Smartphone Blu...,CatBull,138,4.3,4,Black,True Wireless
281,CatBull MAGNETIC_BT In-ear Bluetooth Headsets Bluetooth...,CatBull,132,3.9,246,Black,In the Ear
282,CatBull MAGNETIC_BT In-ear Bluetooth Headsets Bluetooth...,CatBull,132,3.7,10787,Black,In the Ear
283,CLAW SM50 Professional Wired Headset,CLAW,1890,3.3,38,Black,On the Ear
284,Clerby TWS Wireless Bluetooth Earphone Portable Bluetoo...,Clerby,299,3.3,320,White,In the Ear
285,Clerby TWS Wireless Bluetooth Earphone Portable Bluetoo...,Clerby,299,3.3,320,White,In the Ear
286,Clownfish HEADPHONE BLUETOOTH I12 TWS EARBUD TRUE WIREL...,Clownfish,489,4.0,853,White,True Wireless
287,Clownfish HEADPHONE BLUETOOTH I12 TWS EARBUD TRUE WIREL...,Clownfish,489,4.1,221,White,True Wireless
